p_delta,i_delta,ise,mssd_2s,mssd_full,n_observations
0.0,0.04,2120625.0,76944.44444444444,21176.470588235294,1
0.0,0.06,1933125.0,108055.55555555556,29099.264705882353,1
0.0,0.08,1769375.0,51458.333333333336,14172.79411764706,1
0.02,-0.08,1923125.0,30277.777777777777,8419.117647058823,1
0.02,-0.06,2098125.0,50902.77777777778,14283.088235294117,1
0.02,-0.04,1640625.0,40069.444444444445,11507.35294117647,1
0.02,-0.02,3126875.0,208680.55555555556,56047.794117647056,1
0.02,0.0,1603125.0,36180.555555555555,10110.29411764706,1
0.02,0.02,1747500.0,39305.555555555555,12095.588235294117,1
0.02,0.04,1645625.0,54305.555555555555,15827.20588235294,1
0.02,0.06,1746250.0,76250.0,20716.91176470588,1
0.02,0.08,1482500.0,42222.22222222222,11727.941176470587,1
0.03,-0.08,1781875.0,28611.11111111111,8419.117647058823,1
0.03,-0.06,1535625.0,41736.11111111111,11966.911764705883,1
0.03,-0.04,1510000.0,34583.333333333336,9669.117647058823,1
0.03,-0.02,1555000.0,37916.666666666664,10551.470588235294,1
0.03,0.0,1733125.0,52430.555555555555,14264.70588235294,1
0.03,0.02,1820000.0,54513.88888888889,14852.941176470587,1
0.03,0.04,1384375.0,45763.88888888889,12702.20588235294,1
0.03,0.06,1370000.0,51041.666666666664,14411.764705882353,1
0.03,0.08,1686875.0,58819.444444444445,16213.235294117647,1
0.04,-0.08,1528750.0,42430.555555555555,11397.058823529413,1
0.04,-0.06,1585625.0,40277.77777777778,11029.411764705883,1
0.04,-0.04,1784375.0,52291.666666666664,14669.117647058823,1
0.04,-0.02,1547500.0,42916.666666666664,12205.882352941177,1
0.04,0.0,1655000.0,41458.333333333336,12665.441176470587,1
0.04,0.02,1618125.0,45277.77777777778,13382.35294117647,1
0.04,0.04,1618750.0,55069.444444444445,14852.941176470587,1
0.04,0.06,1345000.0,52916.666666666664,16158.088235294117,1
0.04,0.08,1226875.0,55416.666666666664,15459.558823529413,1
0.06,-0.08,1713125.0,52083.333333333336,14779.411764705883,1
0.06,-0.06,1734375.0,53611.11111111111,14705.882352941177,1
